Description,Real GDP (millions of chained 2012 dollars)  ,Real GDP Percent Change %,Chain-type quantity indexes for real GDP,Current-dollar GDP (millions of current dollars),real disposable personal Income per capita(chained 2012 dollars),Unemployment Rate %,CPI for all items,CPI less food and energy,short term interest rate(STINT),Exchange Rate with chinese yuan
38443,14767846,,90.857,12767286,36510,5.3,111.93,109.77,2.783333,8.28
38534,14839707,0.486604478,91.299,12922656,36570,5.1,113.3,110.3,3.23,8.28
38626,14956291,0.78562198,92.016,13142642,36784,4.97,114.53,110.43,3.736667,8.14
38718,15041232,0.567928238,92.539,13324204,37442,4.97,115,111.07,4.296667,8.08
38808,15244088,1.34866612,93.787,13599160,37500,4.73,115.53,111.8,4.72,8.05
38899,15281525,0.245583731,94.017,13753424,37478,4.63,117.37,112.77,5.176667,8.01
38991,15304517,0.150456188,94.159,13870188,37858,4.63,118.07,113.3,5.393333,7.97
39083,15433643,0.843711696,94.953,14039560,38054,4.43,117,113.6,5.323333,7.86
39173,15478956,0.293598861,95.232,14215651,38141,4.5,118.04,114.22,5.31,7.76
39264,15577779,0.63843453,95.84,14402082,38109,4.5,120.13,114.8,5.316667,7.68
39356,15671605,0.602306657,96.417,14564117,38072,4.67,120.43,115.17,5.423333,7.56
39448,15767146,0.609644003,97.005,14715058,38053,4.8,121.22,115.75,5.023334,7.43
39539,15702906,-0.407429474,96.61,14706538,38706,5,122.48,116.45,3.23,7.16
39630,15792773,0.572295345,97.163,14865701,37840,5.33,125.2,117.12,2.756667,6.96
39722,15709562,-0.526892902,96.651,14898999,38158,6,126.69,117.81,3.056667,6.84
39814,15366607,-2.183097148,94.541,14608208,37999,6.87,123.37,117.94,2.816667,6.84
39904,15187475,-1.165722531,93.439,14430901,38124,8.27,122.5,118.37,1.083333,6.84
39995,15161772,-0.169238139,93.28,14381236,37576,9.3,123.66,119.06,0.6166667,6.83
40087,15216647,0.361929991,93.618,14448882,37562,9.63,124.54,119.42,0.3,6.83
40179,15379155,1.06796195,94.618,14651248,37771,9.93,124.71,119.7,0.2233333,6.83
40269,15456059,0.500053481,95.091,14764611,38324,9.83,125.13,119.7,0.2066667,6.83
40360,15605628,0.967704639,96.011,14980193,38487,9.63,125.61,119.95,0.4233333,6.82
40452,15726282,0.77314415,96.753,15141605,38545,9.47,125.71,120.15,0.3366667,6.77
40544,15807995,0.519595159,97.256,15309471,38843,9.5,126.01,120.31,0.28,6.66
40634,15769911,-0.240916068,97.022,15351444,38674,9.03,127.58,120.76,0.2833333,6.58
40725,15876839,0.678050751,97.68,15557535,38764,9.07,129.78,121.62,0.22,6.5
40817,15870684,-0.038767163,97.642,15647681,38793,9,130.32,122.3,0.2866667,6.42
40909,16048702,1.121678183,98.737,15842267,39436,8.63,130.14,122.86,0.4233333,6.36
41000,16179968,0.817922845,99.545,16068824,39719,8.27,131.1,123.45,0.33,6.31
41091,16253726,0.455859987,99.999,16207130,39376,8.2,132.13,124.28,0.3,6.33
41183,16282151,0.174882978,100.173,16319540,40391,8.03,132.38,124.65,0.2666667,6.35
41275,16300035,0.109838067,100.283,16420386,38737,7.8,132.29,124.96,0.2333333,6.24
41365,16441485,0.867789548,101.154,16629050,38960,7.73,132.97,125.48,0.22,6.22
41456,16464402,0.13938522,101.295,16699551,39028,7.53,133.65,126.02,0.1966667,6.15
41548,16594743,0.791653411,102.097,16911068,39062,7.23,134.09,126.4,0.1233333,6.13
41640,16712760,0.711171002,102.823,17133114,39481,6.93,133.66,126.79,0.1266667,6.09
41730,16654247,-0.350109737,102.463,17144281,39931,6.67,134.64,127.25,0.1233333,6.1
41821,16868109,1.284128907,103.778,17462703,40292,6.2,136.14,128.12,0.1133333,6.23
41913,17064616,1.164961644,104.987,17743227,40764,6.07,136.24,128.33,0.1266667,6.16
42005,17141235,0.448993402,105.459,17852540,41235,5.7,135.07,128.5,0.1333333,6.15
42095,17280647,0.813313626,106.316,17991348,41275,5.53,134.17,128.88,0.15,6.24
42186,17380875,0.580001432,106.933,18193707,41426,5.43,135.86,129.98,0.1533333,6.2
42278,17437080,0.323372673,107.279,18306960,41595,5.1,136.11,130.26,0.24,6.3
